吕布,武将,客卿,234,78,627483,337968,42426,43326,203763,0,2,0,0
卫青,武将,名士,200,15,131944,89667,14059,10029,18189,0,1,0,0
包青天,文官,名士,200,21,139923,10029,19189,96546,14159,0,1,0,0
狄仁杰,文官,名士,200,33,194280,10029,152103,18089,14059,0,1,0,0
廉颇,武将,名士,200,25,162142,115935,14059,10029,22119,0,1,0,0
吕不韦,文官,名士,200,36,274028,95257,58402,71910,48459,0,4,0,0
吴三桂,武将,名士,182,16,84844,46803,12680,9340,16021,0,1,0,0
武松,武将,公士,150,13,54570,34198,7549,5274,7549,1,0,0,0
小宝,文官,公士,150,29,79067,7549,56420,7549,7549,1,0,0,0
张謇,文官,公士,150,14,53445,5274,30798,9824,7549,1,0,0,0
安禄山,武将,公士,150,15,89969,9873,7549,5274,67273,1,0,0,0
魏征,文官,公士,150,15,46120,5274,12099,21198,7549,1,0,0,0
福康安,武将,良士,100,12,16235,8138,3039,2019,3039,1,0,0,0
戚少保,武将,良士,100,12,16235,2019,3039,3039,8138,1,0,0,0
和珅,文官,良士,100,12,16235,2019,8138,3039,3039,0,0,0,0
宋江,文官,良士,100,13,17255,3039,3039,9158,2019,1,0,0,0
郑延平,武将,良士,100,13,17255,2019,3039,3039,9158,1,0,0,0
张太岳,文官,良士,100,14,18275,2019,4059,9158,3039,1,0,0,0
李广,武将,良士,100,17,27534,4059,3039,2019,18417,1,0,0,0
沈万三,文官,,50,11,11710,264,10388,529,529,0,0,0,0
纪晓岚,文官,,50,10,11245,264,529,10188,264,0,0,0,0
左文襄,武将,,50,10,9445,264,529,264,8388,0,0,0,0
海兰察,武将,,50,10,11045,9988,264,264,529,0,0,0,0
海青天,文官,,50,12,3175,529,529,1853,264,0,0,0,0
